Participant,Session,Ball #,Look %,Velocity mean,Flipper dist mean,Fixations mean,Fixations per second,Saccades mean,Saccades per second,Pursuits mean,Pursuits per second
0,Norm,Single ball,0.9393642499455693,25.280379041248608,40.01564185544768,129.16979166666667,3.4128020901371654,36.52731092436975,7.459177008491182,0.27738717948717956,2.201175702155454
0,High,Single ball,0.9430634702299077,15.726826608505998,33.37580299785867,145.16281512605042,3.062487718608764,40.22575599582899,5.108076242876793,0.30734472049689443,1.9276871684024368
0,Norm,Multiball,0.9274924471299094,26.872527472527473,38.27544596012592,139.00833333333333,3.0589123867069485,44.63128205128205,5.4040785498489425,0.2770570264765785,2.209214501510574
0,High,Multiball,0.949078564500485,13.512972972972973,26.951511991657977,150.05050505050505,2.6285160038797284,42.21897435897436,3.8700290979631427,0.28293610547667347,2.405431619786615
1,Norm,Single ball,0.9423563874683482,35.45200892857143,38.467811158798284,122.44033149171271,3.482448736408321,41.02016985138004,8.031378779603793,0.2586598746081505,2.281912516756864
1,High,Single ball,0.9020011906397399,36.401234567901234,31.90430107526882,122.62085561497327,3.225717818381646,39.298947368421054,8.690754224481385,0.2755610134436401,2.0414892155515867
1,Norm,Multiball,0.9948424068767908,32.82929515418502,25.885427666314676,125.36871794871794,4.0,39.81425598335068,7.140401146131805,0.25529306829765547,2.6131805157593124
1,High,Multiball,0.9930655879803525,32.933443344334435,24.312045690550363,129.51225740551584,3.588558220167582,38.279591836734696,8.217278243282289,0.25230492813141686,2.3403640566310315
2,Norm,Single ball,0.884723313503199,36.796752519596865,39.16312433581297,119.78733264675593,3.3606465372095635,35.765608465608466,9.300707150072961,0.268526557711951,2.276349758671007
2,High,Single ball,0.8087879352075964,39.48876404494382,46.05187165775401,108.5456026058632,2.9715136846024945,34.3914223669924,10.497114131446658,0.2729665314401623,1.865574380934649
2,Norm,Multiball,0.9970326409495549,44.086433260393875,20.920274551214362,108.67008196721312,3.501483679525222,42.94578313253012,9.910979228486646,0.24226744186046514,2.9376854599406528
2,High,Multiball,0.8894173602853745,37.296052631578945,34.934417628541446,112.61603375527426,3.3246135552913203,35.38097768331562,10.145065398335316,0.2586938775510204,2.1403091557669445
3,Norm,Single ball,0.9347234814143246,38.65111111111111,39.758620689655174,111.68201058201058,2.6322151707464494,37.995661605206074,10.73436083408885,0.2954614181439,2.154729525536416
3,High,Single ball,0.9782951666108907,38.32608695652174,37.44186046511628,110.30334728033473,2.4439451164124875,40.19174503657262,10.977673662571114,0.27551975051975053,2.2402830233781135
3,Norm,Multiball,0.9813638288860652,39.60526315789474,28.942812172088143,103.43360572012257,2.6937738246505716,43.21458551941238,10.952986022871665,0.26347236438075744,2.6175349428208383
3,High,Multiball,1.0,31.90110497237569,29.11721991701245,111.05122950819673,3.7073540561031084,39.9323499491353,9.097801364670204,0.26760649087221094,2.501895375284306
4,Norm,Single ball,0.9453101677712102,32.61198208286674,34.882131324004305,115.14248704663213,3.324377574780584,35.20514165792235,9.729536091706969,0.3089641744548287,2.077735984237865
4,High,Single ball,0.9145790749631602,36.67488789237668,36.97588424437299,108.7691415313225,3.0175405238389503,35.5,9.936778057707848,0.2768937823834197,1.8167989732376288
4,Norm,Multiball,0.9765150492644081,35.46582138919515,29.577894736842104,104.08872651356994,3.1664192198677283,34.02246603970742,11.410446753947902,0.2473837209302326,2.7291132406532594
4,High,Multiball,0.9888249238062987,37.56194690265487,21.84368530020704,108.26020942408377,3.088384693532001,35.08918918918919,10.728073145953267,0.28686923076923077,2.316288520149001
5,Norm,Single ball,0.8948351296553196,36.27111111111111,37.273462783171524,119.6211498973306,3.2365809412015794,37.020591341077086,8.951019101483299,0.2838570691434469,2.100096040977484
5,High,Single ball,0.9743852459016393,26.64569536423841,19.194327731092436,128.88659793814432,3.536453839516825,29.01783783783784,6.930543572044867,0.29105222337125136,1.213330457290768
5,Norm,Multiball,0.9765842042598227,32.27689694224235,26.352910052910055,118.57329842931937,3.556025929355735,33.034174553102,9.255192485778542,0.28236666666666665,2.4368302685540417
5,High,Multiball,0.9923835125448028,28.66030534351145,14.513360739979445,128.95977011494253,3.575268817204301,30.281837160751564,7.365591397849462,0.275017911975435,1.8413978494623655
6,Norm,Single ball,0.8775784545496685,31.159621802002224,40.33476394849785,116.10888407367281,3.3486302322347377,33.940677966101696,9.200389375608399,0.27815762004175365,2.127659574468085
6,High,Single ball,0.8940528971105336,28.299778761061948,43.23894282632147,129.40638766519822,3.464302094480966,37.3336820083682,7.3689038373337405,0.27185991605456455,2.1036538755541967
6,Norm,Multiball,0.9704861111111112,31.045154185022028,30.89936775553214,120.06530825496343,3.407738095238095,35.99531737773153,9.151785714285714,0.31816326530612254,2.0386904761904763
6,High,Multiball,0.902079882201362,26.829268292682926,30.02852529601722,132.59680741503604,3.7327443401435674,34.27466251298027,7.476532302595252,0.274382229232387,2.241855328547764
7,Norm,Single ball,0.9321898119787003,59.34222222222222,36.31954887218045,104.71375661375662,1.8293200131944771,44.7823275862069,10.9561283634136,0.20983779608650874,0.7266387069412374
7,High,Single ball,0.9734412063707217,57.75892857142857,30.381789137380192,104.65928270042194,1.9823788546255507,43.60470085470085,10.819213825821755,0.25940104166666667,1.868010843781769
7,Norm,Multiball,0.9939297124600639,57.62472160356347,23.63660062565172,107.72006141248721,1.878594249201278,44.06089743589744,11.386581469648563,0.22446048632218848,1.4376996805111821
7,High,Multiball,1.0,62.47584033613445,25.650103519668736,102.50617919670442,1.6020025031289111,47.259625390218524,10.362953692115143,0.18634301732925584,2.853566958698373
8,Norm,Single ball,0.9181728880157171,52.33111111111111,35.85806451612903,113.55005324813632,2.269155206286837,41.78510182207931,10.56188605108055,0.2773238341968913,1.9155206286836937
8,High,Single ball,0.972322973048379,56.985619469026545,28.90168243953733,108.66996871741398,2.2297862842475307,44.99741468459152,10.385581161765526,0.25770790020790024,1.8648512917805926
8,Norm,Multiball,0.9954821894005212,52.34977578475336,22.50104275286757,112.2344398340249,2.408340573414422,42.08089033659066,11.353605560382276,0.2739696813977389,2.4813205907906166
8,High,Multiball,0.9975602317779811,69.95575221238938,17.58195020746888,101.80839231547017,1.5004574565416287,45.23498964803313,12.150045745654163,0.3148212487411883,2.268984446477585
9,Norm,Single ball,0.8407471498371335,25.24225663716814,41.18824163969795,128.65263157894736,4.064535830618893,32.808411214953274,7.5458061889250825,0.25799427679500525,2.14678338762215
9,High,Single ball,0.9302262785548415,31.674444444444443,39.547159699892816,120.18661588683351,3.635578117405627,36.27754459601259,8.327482853593995,0.2732336108220604,2.349192633795971
9,Norm,Multiball,1.0,29.349344978165938,22.178125,115.7398753894081,4.4884910485933505,33.54205128205128,8.267263427109974,0.29273461939520334,2.762148337595908
9,High,Multiball,1.0,33.179515418502206,25.034591194968552,120.58208955223881,3.8751814223512335,34.73711340206186,8.896952104499274,0.2530879345603272,2.772133526850508
10,Norm,Single ball,0.9018798716185236,48.0962389380531,37.03655913978495,119.47586568730325,2.570686229558307,44.46,9.43298181262418,0.27501043841336115,2.1335778694788323
10,High,Single ball,0.8860424028268551,50.15072302558398,35.23968253968254,121.9537540805223,2.2791519434628973,46.59436008676789,8.56007067137809,0.264619170984456,2.075971731448763
10,Norm,Multiball,0.9667341625687011,40.131991051454136,28.230360934182592,124.07069143446853,2.7769742551345096,38.63305613305613,10.88226786230836,0.2712167689161554,2.3951402950535146
10,High,Multiball,0.9790094339622641,48.83259423503326,25.809398099260825,113.51440329218107,2.334905660377358,44.97464940668824,10.06132075471698,0.2510655737704918,2.6179245283018866
11,Norm,Single ball,0.8123014568956074,29.264771460423635,51.631324004305704,124.59935897435898,3.3158067696352282,36.02391304347826,7.30200460072297,0.2824788583509514,1.7548471902727572
11,High,Single ball,0.9377443481217066,30.579152731326644,35.91283422459893,122.13954802259887,3.421723610402856,36.20524017467249,7.96787353391127,0.2689263645726056,2.0576236613972463
